,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
0,-500,-91,-143,-261
1,-500,-92,-146,-142
2,-500,-110,-142,-156
3,-500,-101,-154,-100
4,-500,-93,-92,-282
5,-500,-101,-119,-156
6,-500,-90,-122,-162
7,-500,-99,-111,-247
8,-500,-126,-126,-107
9,-500,-100,-89,-115
10,-500,-101,-87,-96
11,-500,-102,-118,-114
12,-500,-103,-135,-108
13,-500,-91,-133,-161
14,-500,-91,-108,-101
15,-500,-97,-127,-130
16,-500,-94,-117,-139
17,-500,-93,-132,-269
18,-500,-225,-118,-127
19,-500,-97,-106,-114
20,-500,-160,-88,-214
21,-500,-93,-119,-108
22,-500,-186,-122,-109
23,-500,-102,-100,-117
24,-500,-119,-118,-153
25,-500,-92,-103,-136
26,-500,-107,-116,-220
27,-500,-107,-87,-125
28,-500,-99,-130,-138
29,-500,-112,-147,-500
30,-500,-91,-88,-115
31,-500,-92,-109,-94
32,-500,-105,-129,-117
33,-500,-97,-97,-174
34,-500,-106,-87,-125
35,-500,-117,-100,-120
36,-500,-101,-206,-130
37,-500,-116,-142,-109
38,-500,-97,-111,-234
39,-500,-106,-138,-168
40,-500,-106,-87,-153
41,-500,-100,-100,-156
42,-500,-98,-121,-127
43,-500,-95,-127,-500
44,-500,-99,-125,-170
45,-500,-102,-118,-121
46,-500,-104,-119,-261
47,-500,-89,-102,-154
48,-500,-92,-500,-176
49,-500,-101,-500,-147
50,-500,-104,-96,-124
51,-500,-162,-85,-111
52,-500,-96,-88,-99
53,-500,-101,-134,-133
54,-500,-98,-145,-94
55,-500,-119,-111,-101
56,-500,-118,-99,-500
57,-500,-116,-87,-90
58,-500,-92,-110,-118
59,-500,-92,-141,-249
60,-500,-113,-137,-130
61,-500,-239,-131,-150
62,-500,-112,-166,-114
63,-500,-121,-128,-113
64,-500,-110,-95,-123
65,-500,-108,-87,-142
66,-500,-92,-172,-146
67,-500,-141,-110,-91
68,-500,-100,-87,-116
69,-500,-102,-112,-197
70,-500,-130,-87,-189
71,-500,-96,-87,-171
72,-500,-97,-139,-147
73,-500,-106,-155,-183
74,-500,-131,-87,-266
75,-500,-105,-118,-122
76,-500,-137,-500,-500
77,-500,-101,-148,-109
78,-500,-109,-100,-90
79,-500,-110,-131,-132
80,-500,-107,-123,-135
81,-500,-96,-116,-126
82,-500,-116,-125,-108
83,-500,-104,-114,-114
84,-500,-97,-129,-123
85,-500,-93,-500,-142
86,-500,-91,-118,-224
87,-500,-102,-100,-100
88,-500,-96,-133,-115
89,-500,-113,-106,-293
90,-500,-142,-111,-170
91,-500,-125,-121,-135
92,-500,-96,-98,-218
93,-500,-91,-111,-126
94,-500,-130,-207,-165
95,-500,-233,-155,-127
96,-500,-146,-110,-164
97,-500,-91,-109,-216
98,-500,-102,-121,-500
99,-500,-92,-114,-99
100,-500,-106,-209,-121
101,-500,-98,-88,-122
102,-500,-115,-126,-92
103,-500,-99,-124,-129
104,-500,-115,-88,-165
105,-500,-112,-139,-129
106,-500,-117,-89,-500
107,-500,-92,-119,-142
108,-500,-116,-118,-118
109,-500,-107,-119,-115
110,-500,-145,-126,-135
111,-500,-102,-88,-129
112,-500,-92,-133,-168
113,-500,-121,-103,-305
114,-500,-105,-97,-280
115,-500,-91,-97,-107
116,-500,-96,-104,-112
117,-500,-124,-122,-163
118,-500,-129,-135,-92
119,-500,-98,-87,-131
120,-500,-106,-500,-128
121,-500,-93,-93,-129
122,-500,-95,-91,-203
123,-500,-97,-103,-500
124,-500,-128,-112,-203
125,-500,-127,-121,-114
126,-500,-90,-140,-217
127,-500,-129,-114,-133
128,-500,-92,-137,-126
129,-500,-114,-95,-93
130,-500,-99,-105,-142
131,-500,-104,-142,-133
132,-500,-106,-155,-197
133,-500,-95,-102,-168
134,-500,-167,-119,-146
135,-500,-91,-137,-134
136,-500,-199,-174,-97
137,-500,-126,-161,-136
138,-500,-92,-126,-158
139,-500,-97,-500,-140
140,-500,-124,-125,-161
141,-500,-97,-116,-133
142,-500,-117,-115,-109
143,-500,-117,-117,-119
144,-500,-97,-122,-119
145,-500,-92,-131,-127
146,-500,-106,-92,-142
147,-500,-107,-118,-116
148,-500,-97,-161,-109
149,-500,-91,-227,-108
150,-500,-92,-140,-130
151,-500,-93,-109,-153
152,-500,-116,-127,-123
153,-500,-97,-117,-170
154,-500,-130,-113,-147
155,-500,-101,-115,-168
156,-500,-97,-132,-500
