,MountainCarAgentv16.0,MountainCarAgentv16.1,MountainCarAgentv16.2,MountainCarAgentv16.3
0,-116,-152,-149,-111
1,-118,-149,-113,-85
2,-112,-147,-114,-88
3,-86,-147,-146,-113
4,-113,-89,-113,-113
5,-115,-147,-147,-112
6,-88,-105,-114,-112
7,-116,-107,-146,-114
8,-117,-160,-146,-115
9,-86,-153,-145,-99
10,-118,-155,-112,-112
11,-113,-152,-113,-91
12,-113,-153,-143,-91
13,-112,-149,-146,-114
14,-112,-105,-113,-114
15,-114,-105,-114,-87
16,-112,-152,-147,-110
17,-119,-149,-147,-110
18,-114,-147,-144,-113
19,-114,-105,-114,-94
20,-113,-147,-113,-110
21,-114,-153,-113,-110
22,-112,-149,-115,-114
23,-112,-154,-113,-109
24,-84,-152,-114,-109
25,-116,-105,-144,-110
26,-85,-90,-144,-115
27,-83,-147,-144,-112
28,-113,-89,-113,-114
29,-86,-149,-146,-114
30,-113,-94,-144,-85
31,-117,-152,-144,-87
32,-114,-88,-147,-84
33,-118,-147,-147,-111
34,-113,-147,-115,-110
35,-89,-147,-114,-87
36,-89,-149,-144,-110
37,-115,-105,-114,-114
38,-112,-149,-144,-113
39,-113,-154,-113,-114
40,-114,-158,-147,-111
41,-118,-157,-144,-97
42,-112,-100,-113,-93
43,-114,-106,-113,-114
44,-116,-153,-114,-112
45,-113,-147,-114,-114
46,-114,-153,-149,-112
47,-114,-108,-145,-110
48,-85,-103,-150,-104
49,-113,-148,-149,-109
50,-113,-87,-146,-113
51,-87,-149,-149,-90
52,-113,-160,-113,-111
53,-84,-149,-113,-113
54,-111,-149,-114,-110
55,-112,-105,-146,-109
56,-117,-152,-113,-88
57,-117,-106,-144,-114
58,-117,-152,-114,-106
59,-116,-154,-143,-113
60,-115,-149,-147,-84
61,-114,-105,-145,-113
62,-114,-151,-148,-85
63,-114,-149,-147,-109
64,-112,-106,-115,-111
65,-114,-106,-144,-83
66,-89,-156,-149,-112
67,-112,-105,-147,-111
68,-115,-87,-114,-109
69,-86,-92,-114,-114
70,-114,-96,-145,-112
71,-85,-147,-148,-109
72,-111,-156,-113,-112
73,-117,-106,-115,-98
74,-114,-103,-113,-111
75,-114,-153,-145,-84
76,-87,-149,-114,-113
77,-113,-147,-113,-86
78,-85,-89,-144,-114
79,-120,-153,-144,-112
80,-83,-149,-113,-110
81,-113,-151,-114,-111
82,-85,-106,-147,-109
83,-112,-158,-113,-93
84,-84,-102,-145,-115
85,-83,-149,-114,-91
86,-118,-147,-113,-111
87,-112,-108,-113,-114
88,-114,-107,-113,-109
89,-120,-88,-150,-111
90,-117,-108,-143,-109
91,-114,-149,-113,-114
92,-112,-147,-114,-110
93,-114,-147,-148,-87
94,-117,-91,-113,-85
95,-86,-147,-147,-84
96,-115,-151,-113,-114
97,-114,-100,-146,-114
98,-83,-105,-114,-100
99,-113,-88,-146,-112
100,-84,-168,-114,-88
101,-85,-91,-150,-113
102,-117,-98,-114,-110
103,-115,-149,-115,-110
104,-117,-90,-113,-89
105,-114,-149,-149,-111
106,-84,-104,-149,-112
107,-112,-153,-147,-112
108,-112,-147,-112,-113
109,-114,-147,-114,-109
110,-118,-149,-114,-113
111,-117,-158,-147,-109
112,-111,-149,-114,-113
113,-115,-156,-113,-86
114,-83,-153,-114,-87
115,-113,-106,-113,-111
116,-84,-99,-143,-111
117,-114,-101,-144,-110
118,-114,-152,-146,-89
119,-114,-106,-146,-111
120,-84,-94,-146,-113
121,-84,-153,-114,-112
122,-114,-153,-114,-113
123,-86,-153,-112,-107
124,-84,-153,-112,-109
125,-116,-152,-113,-115
126,-120,-147,-147,-113
127,-113,-108,-113,-110
128,-112,-90,-148,-114
129,-114,-155,-149,-114
130,-83,-104,-147,-86
131,-115,-147,-115,-110
132,-116,-107,-114,-114
133,-111,-147,-114,-89
134,-115,-96,-144,-111
135,-113,-102,-112,-112
136,-114,-149,-113,-109
137,-112,-149,-115,-113
138,-114,-147,-113,-114
139,-118,-152,-148,-110
140,-116,-149,-115,-110
141,-112,-153,-114,-112
142,-113,-106,-113,-113
143,-84,-104,-112,-112
144,-118,-149,-148,-112
145,-112,-148,-147,-114
146,-86,-152,-147,-112
147,-85,-147,-113,-109
148,-116,-153,-113,-106
149,-113,-147,-112,-113
150,-112,-149,-150,-109
151,-117,-149,-113,-87
152,-117,-152,-149,-110
153,-112,-96,-145,-110
